tempo;nivel;pwm
33;8.55;255.00
33;8.55;255.00
34;8.55;255.00
34;8.55;255.00
34;8.53;255.00
34;7.26;255.00
34;8.55;255.00
34;7.26;255.00
34;8.55;255.00
34;8.53;255.00
34;8.53;255.00
34;8.53;255.00
34;7.24;255.00
34;8.22;255.00
34;8.20;255.00
34;8.22;255.00
34;8.22;255.00
34;5.65;255.00
34;7.90;255.00
34;7.90;255.00
34;7.90;255.00
35;7.90;255.00
35;7.90;255.00
35;9.18;255.00
35;9.18;255.00
35;7.90;255.00
35;9.18;255.00
35;9.18;255.00
35;8.86;255.00
35;8.86;255.00
35;8.86;255.00
35;8.86;255.00
35;8.86;255.00
35;8.53;255.00
35;8.53;255.00
35;8.55;255.00
35;8.53;255.00
35;7.57;255.00
35;-4.04;255.00
36;8.20;255.00
36;6.92;255.00
36;8.20;255.00
36;7.90;255.00
36;7.90;255.00
36;6.61;255.00
36;7.90;255.00
36;8.22;255.00
36;9.51;255.00
36;8.20;255.00
36;8.20;255.00
36;7.90;255.00
36;9.18;255.00
36;9.18;255.00
36;9.18;255.00
36;9.17;255.00
36;8.86;255.00
36;8.86;255.00
36;8.86;255.00
37;8.86;255.00
37;8.86;255.00
37;8.86;255.00
37;8.86;255.00
37;8.86;255.00
37;8.81;255.00
37;8.75;255.00
37;8.75;255.00
37;8.75;255.00
37;8.75;255.00
37;8.86;255.00
37;6.28;255.00
37;8.44;255.00
37;8.43;255.00
37;9.41;255.00
37;9.39;255.00
37;9.49;255.00
37;8.53;255.00
38;8.53;255.00
38;9.51;255.00
38;9.17;255.00
38;9.17;255.00
38;8.22;255.00
38;9.18;255.00
38;7.90;255.00
38;9.17;255.00
38;8.86;255.00
38;9.18;255.00
38;10.16;255.00
38;10.16;255.00
38;8.86;255.00
38;4.05;255.00
38;9.51;255.00
38;9.17;255.00
38;7.88;255.00
38;7.88;255.00
39;7.57;255.00
39;8.86;255.00
39;9.82;255.00
39;9.82;255.00
39;9.82;255.00
39;9.49;255.00
39;8.53;255.00
39;5.32;255.00
39;8.86;255.00
39;8.55;255.00
39;9.51;255.00
39;8.20;255.00
39;5.98;255.00
39;9.17;255.00
39;9.18;255.00
39;9.18;255.00
39;9.18;255.00
39;9.49;255.00
39;8.22;255.00
40;8.20;255.00
40;9.18;255.00
40;9.18;255.00
40;10.35;255.00
40;9.08;255.00
40;10.06;255.00
40;8.43;255.00
40;9.73;255.00
40;8.53;255.00
40;8.53;255.00
40;9.49;255.00
40;10.74;255.00
40;10.74;255.00
40;10.74;255.00
40;10.74;255.00
40;10.74;255.00
40;10.74;255.00
40;10.76;255.00
41;10.64;255.00
41;10.64;255.00
41;9.41;255.00
41;9.49;255.00
41;9.51;255.00
41;9.18;255.00
41;7.59;255.00
41;10.16;255.00
41;7.24;255.00
41;9.51;255.00
41;8.22;255.00
41;9.82;255.00
41;8.53;255.00
41;9.82;255.00
41;8.86;255.00
41;10.16;255.00
41;9.82;255.00
41;9.82;255.00
41;10.74;255.00
42;10.74;255.00
42;10.64;255.00
42;10.64;255.00
42;10.74;255.00
42;9.49;255.00
42;9.49;255.00
42;9.51;255.00
42;9.18;255.00
42;9.18;255.00
42;9.18;255.00
42;9.51;255.00
42;9.49;255.00
42;9.49;255.00
42;10.74;255.00
42;9.51;255.00
42;10.35;255.00
42;9.08;255.00
42;10.35;255.00
43;10.38;255.00
43;9.18;255.00
43;10.16;255.00
43;11.05;255.00
43;10.16;255.00
43;10.16;255.00
43;11.03;255.00
43;11.05;255.00
43;11.05;255.00
43;11.82;254.00
43;11.82;254.00
43;11.93;245.00
43;11.93;245.00
43;11.93;245.00
43;11.93;245.00
43;11.82;254.00
43;11.82;254.00
43;11.93;245.00
43;11.05;255.00
44;6.94;255.00
44;9.18;255.00
44;9.49;255.00
44;9.18;255.00
44;9.18;255.00
44;8.22;255.00
44;7.90;255.00
44;9.82;255.00
44;11.63;255.00
44;9.51;255.00
44;9.18;255.00
44;9.18;255.00
44;9.49;255.00
44;10.64;255.00
44;9.41;255.00
44;9.49;255.00
44;9.49;255.00
44;9.18;255.00
45;9.49;255.00
45;10.45;255.00
45;11.34;255.00
45;11.63;255.00
45;12.80;175.00
45;11.82;254.00
45;11.93;245.00
45;11.93;245.00
45;10.74;255.00
45;11.63;255.00
45;12.82;174.00
45;11.82;254.00
45;11.53;255.00
45;11.62;255.00
45;11.63;255.00
45;11.63;255.00
45;11.63;255.00
45;10.45;255.00
45;5.32;255.00
46;10.74;255.00
46;9.82;255.00
46;9.51;255.00
46;11.53;255.00
46;11.24;255.00
46;11.34;255.00
46;11.34;255.00
46;12.22;222.00
46;12.22;222.00
46;12.12;230.00
46;12.12;230.00
46;12.22;222.00
46;12.22;222.00
46;12.22;222.00
46;9.18;255.00
46;11.05;255.00
46;10.93;255.00
46;11.82;254.00
47;11.05;255.00
47;12.80;175.00
47;9.82;255.00
