tempo;nivel;pwm
8;4.05;255.00
8;4.05;255.00
8;4.05;255.00
8;4.05;255.00
8;4.14;255.00
8;4.05;255.00
8;5.01;255.00
8;3.73;255.00
8;5.01;255.00
8;5.01;255.00
9;5.08;255.00
9;5.01;255.00
9;3.73;255.00
9;4.69;255.00
9;4.69;255.00
9;4.69;255.00
9;4.79;255.00
9;4.69;255.00
9;4.69;255.00
9;4.69;255.00
9;4.69;255.00
9;4.36;255.00
9;4.47;255.00
9;4.36;255.00
9;4.38;255.00
9;4.38;255.00
9;4.36;255.00
9;5.65;255.00
10;4.36;255.00
10;4.38;255.00
10;5.34;255.00
10;5.34;255.00
10;4.05;255.00
10;3.09;255.00
10;4.36;255.00
10;5.32;255.00
10;5.32;255.00
10;5.34;255.00
10;4.05;255.00
10;5.01;255.00
10;5.01;255.00
10;5.01;255.00
10;5.01;255.00
10;5.01;255.00
10;5.01;255.00
10;5.01;255.00
11;4.69;255.00
11;4.69;255.00
11;4.69;255.00
11;4.69;255.00
11;4.69;255.00
11;4.69;255.00
11;3.52;255.00
11;4.69;255.00
11;1.93;255.00
11;0.86;255.00
11;4.69;255.00
11;5.65;255.00
11;4.36;255.00
11;4.36;255.00
11;5.75;255.00
11;4.36;255.00
11;4.36;255.00
11;4.38;255.00
11;5.32;255.00
12;4.05;255.00
12;5.34;255.00
12;5.34;255.00
12;4.04;255.00
12;4.05;255.00
12;4.05;255.00
12;-0.39;255.00
12;5.34;255.00
12;4.16;255.00
12;5.32;255.00
12;5.01;255.00
12;6.30;255.00
12;6.30;255.00
12;5.01;255.00
12;5.12;255.00
12;5.01;255.00
12;4.69;255.00
12;4.69;255.00
13;4.69;255.00
13;4.79;255.00
13;3.73;255.00
13;0.18;255.00
13;5.65;255.00
13;5.65;255.00
13;-0.11;255.00
13;3.09;255.00
13;4.36;255.00
13;4.38;255.00
13;4.69;255.00
13;5.67;255.00
13;5.32;255.00
13;4.36;255.00
13;5.32;255.00
13;5.32;255.00
13;5.32;255.00
13;5.34;255.00
14;5.32;255.00
14;5.34;255.00
14;5.01;255.00
14;5.01;255.00
14;5.01;255.00
14;5.01;255.00
14;2.51;255.00
14;5.01;255.00
14;5.01;255.00
14;4.69;255.00
14;4.79;255.00
14;5.98;255.00
14;5.98;255.00
14;5.98;255.00
14;5.98;255.00
14;5.98;255.00
14;5.65;255.00
14;5.74;255.00
14;5.65;255.00
15;5.67;255.00
15;5.65;255.00
15;5.65;255.00
15;6.61;255.00
15;6.61;255.00
15;6.63;255.00
15;6.61;255.00
15;6.61;255.00
15;6.61;255.00
15;5.32;255.00
15;6.30;255.00
15;6.30;255.00
15;6.30;255.00
15;6.30;255.00
15;6.28;255.00
15;5.01;255.00
15;3.73;255.00
15;6.28;255.00
16;6.30;255.00
16;5.98;255.00
16;5.98;255.00
16;5.98;255.00
16;3.42;255.00
16;5.98;255.00
16;3.40;255.00
16;5.98;255.00
16;5.77;255.00
16;6.94;255.00
16;5.65;255.00
16;5.65;255.00
16;5.65;255.00
16;5.67;255.00
16;6.63;255.00
16;5.65;255.00
16;6.61;255.00
16;6.61;255.00
17;6.61;255.00
17;6.63;255.00
17;5.34;255.00
17;6.28;255.00
17;6.30;255.00
17;6.30;255.00
17;6.37;255.00
17;5.98;255.00
17;5.98;255.00
17;5.98;255.00
17;5.98;255.00
17;7.26;255.00
17;7.26;255.00
17;7.26;255.00
17;7.24;255.00
17;5.98;255.00
17;6.82;255.00
17;5.98;255.00
17;5.98;255.00
18;6.94;255.00
18;6.94;255.00
18;6.94;255.00
18;6.94;255.00
18;6.94;255.00
18;6.94;255.00
18;6.94;255.00
18;6.94;255.00
18;6.94;255.00
18;6.94;255.00
18;6.61;255.00
18;6.61;255.00
18;6.61;255.00
18;6.63;255.00
18;7.90;255.00
18;7.90;255.00
18;7.90;255.00
18;7.90;255.00
19;6.61;255.00
19;6.63;255.00
19;6.63;255.00
19;6.63;255.00
19;7.47;255.00
19;7.59;255.00
19;7.59;255.00
19;6.30;255.00
19;6.30;255.00
19;7.26;255.00
19;7.26;255.00
19;7.26;255.00
19;7.26;255.00
19;7.26;255.00
19;7.26;255.00
19;7.26;255.00
19;7.26;255.00
19;8.22;255.00
19;8.22;255.00
20;8.22;255.00
20;6.94;255.00
20;6.83;255.00
20;6.94;255.00
20;7.90;255.00
